Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Lanes_or_Medians,Types_of_Junction,Road_surface_conditions,Light_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour
Sunday,Adult,Male,Middle,Employee,Beginner,Pick up,Advanced_Exp,Unknown,Other,No_junction,Dry,Daylight,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,16
Sunday,Adult,Male,Unknown,Unknown,Unknown,Unknown,Advanced_Exp,With defect,Other,No_junction,Dry,Darkness,Vehicles,2,2,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,21
Sunday,Young_Adult,Male,Middle,Employee,Intermediate,Automobile,Unknown,No defect,Undivided_Two-way,No_junction,Dry,Darkness,Animated_Objects,2,2,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,21
Wednesday,Young_Adult,Male,Middle,Employee,Expert,Public,Unknown,No defect,Divided_Two-way,Y,Dry,Daylight,Vehicles,2,1,Forward,Pedestrian,3,Pedestrian,No_distance,Slight Injury,9
Wednesday,Young_Adult,Male,Middle,Employee,Expert,Public,Unknown,No defect,Divided_Two-way,Y,Dry,Daylight,Inanimated_Objects,2,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,9
Friday,Adult,Male,Middle,Employee,Advanced,Lorry,Moderate_Exp,Unknown,Undivided_Two-way,Y,Dry,Daylight,Vehicles,1,1,Forward,Unknown,0,No_pedestrian,Changing_lane,Serious Injury,14
Friday,Adult,Male,Middle,Employee,Beginner,Automobile,Moderate_Exp,Unknown,Undivided_Two-way,Crossing,Dry,Daylight,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,10
Friday,Adult,Male,Unknown,Employee,Beginner,Other,Unknown,No defect,Divided_Two-way,Crossing,Dry,Daylight,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,No_distance,Slight Injury,10
Monday,Young_Adult,Male,Middle,Employee,Beginner,Automobile,Unknown,Unknown,Divided_Two-way,Crossing,Dry,Daylight,Other,2,1,Forward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,18
Monday,Young_Adult,Male,Middle,Employee,Intermediate,Automobile,Valid_Recent_Exp,Unknown,Undivided_Two-way,Crossing,Dry,Daylight,Vehicles,2,1,Forward,Driver or rider,2,No_pedestrian,Changing_lane,Slight Injury,18
Tuesday,Young_Adult,Male,Middle,Owner,Beginner,Automobile,Advanced_Exp,Unknown,Divided_Two-way,Other,Dry,Daylight,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Other,Slight Injury,19
Tuesday,Adult,Male,Middle,Employee,Advanced,Other,Advanced_Exp,No defect,Undivided_Two-way,Other,Dry,Daylight,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,19
Saturday,Older_Adult,Male,Elementary,Employee,Intermediate,Automobile,Moderate_Exp,No defect,One-way,No_junction,Dry,Daylight,Animated_Objects,2,3,Forward,Driver or rider,3,No_pedestrian,Other,Slight Injury,11
Saturday,Adult,Male,Elementary,Owner,Advanced,Automobile,Unknown,No defect,Divided_Two-way,No_junction,Dry,Daylight,Vehicles,2,3,Forward,Driver or rider,3,No_pedestrian,No_distance,Slight Injury,11
Saturday,Adult,Male,Middle,Employee,Expert,Automobile,Moderate_Exp,Unknown,Divided_Two-way,No_junction,Dry,Daylight,Inanimated_Objects,2,3,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,11
Thursday,Young_Adult,Male,Middle,Employee,Advanced,Public,Moderate_Exp,Unknown,Divided_Two-way,No_junction,Dry,Daylight,Other,2,1,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,13
Thursday,Adult,Male,Middle,Employee,Advanced,Unknown,Unknown,No defect,One-way,No_junction,Dry,Daylight,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,No_distance,Slight Injury,13
Tuesday,Older_Adult,Male,Middle,Unknown,Beginner,Lorry,Unknown,No defect,Divided_Two-way,Unknown,Not dry,Daylight,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,12
Friday,Young_Adult,Male,Middle,Employee,Intermediate,Unknown,Unknown,No defect,Unknown,Y,Dry,Daylight,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,12
Friday,Adult,Male,Middle,Employee,Beginner,Public,Valid_Recent_Exp,No defect,One-way,Y,Dry,Daylight,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,12
Sunday,Adult,Male,Unknown,Unknown,Unknown,Unknown,Unknown,No defect,Divided_Two-way,Y,Dry,Daylight,Inanimated_Objects,2,1,Forward,Driver or rider,3,No_pedestrian,Other,Slight Injury,16
Sunday,Adult,Male,Elementary,Employee,Advanced,Public,Advanced_Exp,Unknown,Divided_Two-way,Y,Dry,Daylight,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,16
Monday,Unknown,Female,Middle,Employee,Advanced,Public,Unknown,Unknown,One-way,No_junction,Dry,Daylight,Vehicles,2,1,Forward,Passenger,3,No_pedestrian,Driving_carelessly,Slight Injury,18
Monday,Adult,Male,Middle,Employee,Expert,Automobile,Moderate_Exp,No defect,Undivided_Two-way,No_junction,Dry,Daylight,Inanimated_Objects,2,1,Forward,Passenger,3,No_pedestrian,Other,Slight Injury,18
Thursday,Young_Adult,Male,Middle,Owner,Expert,Automobile,Advanced_Exp,No defect,Other,Other,Dry,Daylight,Vehicles,2,1,Unknown,Driver or rider,3,No_pedestrian,No_distance,Slight Injury,13
Wednesday,Young_Adult,Male,Middle,Employee,Intermediate,Lorry,Moderate_Exp,No defect,Divided_Two-way,No_junction,Dry,Daylight,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,13
Wednesday,Adult,Male,Elementary,Unknown,Advanced,Public,Valid_Recent_Exp,Unknown,Undivided_Two-way,No_junction,Dry,Daylight,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,13
Monday,Young_Adult,Male,Elementary,Employee,Advanced,Lorry,Moderate_Exp,Unknown,Divided_Two-way,Crossing,Dry,Darkness,Vehicles,2,1,Backward,Passenger,3,No_pedestrian,Changing_lane,Slight Injury,18
Monday,Adult,Male,Middle,Unknown,Advanced,Automobile,Unknown,No defect,One-way,Crossing,Dry,Darkness,Inanimated_Objects,2,1,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,18
Thursday,Adult,Male,Middle,Employee,Advanced,Automobile,Valid_Recent_Exp,No defect,Undivided_Two-way,No_junction,Dry,Daylight,Vehicles,1,4,Forward,Driver or rider,3,No_pedestrian,Other,Slight Injury,11
Thursday,Adult,Male,Elementary,Employee,Expert,Automobile,Unknown,No defect,Undivided_Two-way,No_junction,Dry,Daylight,Vehicles,1,4,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,11
Thursday,Adult,Male,Middle,Unknown,Beginner,Other,Unknown,Unknown,Divided_Two-way,No_junction,Dry,Daylight,Vehicles,1,4,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,11
Thursday,Adult,Male,Middle,Employee,Advanced,Public,Moderate_Exp,Unknown,One-way,No_junction,Dry,Daylight,Vehicles,1,4,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,11
Tuesday,Older_Adult,Male,Elementary,Employee,Beginner,Lorry,Advanced_Exp,Unknown,Undivided_Two-way,No_junction,Dry,Daylight,Vehicles,1,1,Turn,Pedestrian,3,No_pedestrian,Changing_lane,Serious Injury,15
Sunday,Adult,Male,Middle,Employee,Expert,Unknown,Advanced_Exp,No defect,Divided_Two-way,Y,Dry,Darkness,Inanimated_Objects,2,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,20
Sunday,Underage,Male,Middle,Owner,Intermediate,Automobile,Unknown,No defect,Undivided_Two-way,Y,Dry,Darkness,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,20
Wednesday,Adult,Male,Middle,Employee,Beginner,Lorry,Unknown,No defect,Undivided_Two-way,Crossing,Not dry,Darkness,Animated_Objects,2,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Serious Injury,18
Wednesday,Adult,Male,Middle,Employee,Beginner,Lorry,Valid_Recent_Exp,No defect,One-way,Crossing,Not dry,Darkness,Inanimated_Objects,2,1,Forward,Driver or rider,2,No_pedestrian,Other,Serious Injury,18
Sunday,Older_Adult,Male,Advanced,Owner,Intermediate,Pick up,Unknown,No defect,Undivided_Two-way,Unknown,Dry,Daylight,Inanimated_Objects,1,2,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,15
Sunday,Older_Adult,Male,Unknown,Unknown,Unknown,Lorry,Unknown,Unknown,Undivided_Two-way,Unknown,Dry,Daylight,Vehicles,1,2,Turn,Pedestrian,3,No_pedestrian,No_distance,Slight Injury,15
Wednesday,Older_Adult,Male,Middle,Employee,Beginner,Other,Unknown,Unknown,Divided_Two-way,Crossing,Dry,Darkness,Vehicles,2,3,Forward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,23
Wednesday,Adult,Male,Unknown,Owner,Advanced,Other,Advanced_Exp,Unknown,Divided_Two-way,Crossing,Dry,Darkness,Vehicles,2,3,Backward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,23
Monday,Young_Adult,Male,Middle,Employee,Intermediate,Unknown,Moderate_Exp,Unknown,One-way,Y,Dry,Daylight,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,No_distance,Serious Injury,7
Sunday,Adult,Male,Middle,Employee,Advanced,Automobile,Moderate_Exp,No defect,One-way,No_junction,Dry,Daylight,Vehicles,2,1,Backward,Driver or rider,3,No_pedestrian,Other,Fatal injury,15
Sunday,Adult,Male,Middle,Employee,Expert,Lorry,Unknown,No defect,Divided_Two-way,No_junction,Dry,Daylight,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Other,Fatal injury,15
Monday,Young_Adult,Male,Elementary,Employee,Intermediate,Other,Unknown,No defect,Divided_Two-way,No_junction,Dry,Daylight,Vehicles,2,1,Backward,Unknown,0,No_pedestrian,No_distance,Slight Injury,15
Monday,Young_Adult,Male,Elementary,Owner,Expert,Lorry,Advanced_Exp,No defect,Divided_Two-way,No_junction,Dry,Daylight,Vehicles,2,1,Backward,Unknown,0,No_pedestrian,No_distance,Slight Injury,15
Sunday,Older_Adult,Male,Middle,Employee,Beginner,Automobile,Unknown,Unknown,Divided_Two-way,Crossing,Dry,Daylight,Inanimated_Objects,2,1,Forward,Driver or rider,3,No_pedestrian,No_distance,Slight Injury,9
Sunday,Older_Adult,Male,Middle,Employee,Advanced,Pick up,Unknown,No defect,One-way,Crossing,Dry,Daylight,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,9
Thursday,Young_Adult,Male,Middle,Employee,Intermediate,Lorry,Moderate_Exp,No defect,One-way,Y,Dry,Daylight,Vehicles,3,1,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,17
Thursday,Young_Adult,Male,Middle,Employee,Intermediate,Public,Unknown,No defect,Divided_Two-way,Y,Dry,Daylight,Vehicles,3,1,Forward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,17
Thursday,Adult,Male,Middle,Employee,Intermediate,Lorry,Advanced_Exp,No defect,Divided_Two-way,Y,Dry,Daylight,Vehicles,3,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,17
Sunday,Older_Adult,Male,Middle,Employee,Expert,Automobile,Advanced_Exp,Unknown,Other,No_junction,Dry,Darkness,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,20
Thursday,Young_Adult,Male,Middle,Employee,Expert,Other,Unknown,Unknown,Divided_Two-way,Y,Dry,Darkness,Vehicles,2,2,Forward,Driver or rider,3,No_pedestrian,No_distance,Slight Injury,21
Thursday,Adult,Male,Elementary,Employee,Advanced,Unknown,Unknown,Unknown,Divided_Two-way,Y,Dry,Darkness,Vehicles,2,2,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,21
Monday,Young_Adult,Male,Unknown,Employee,Unknown,Lorry,Unknown,Unknown,Divided_Two-way,Y,Dry,Darkness,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,19
Monday,Young_Adult,Male,Unknown,Employee,Intermediate,Public,Unknown,Unknown,Divided_Two-way,Y,Dry,Darkness,Vehicles,2,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,19
Monday,Young_Adult,Male,Elementary,Employee,Advanced,Public,Unknown,Unknown,Unknown,Crossing,Dry,Daylight,Vehicles,2,1,Stop,Driver or rider,2,No_pedestrian,No_distance,Slight Injury,16
Monday,Older_Adult,Male,Middle,Employee,Advanced,Other,Moderate_Exp,Unknown,Divided_Two-way,Crossing,Dry,Daylight,Inanimated_Objects,2,1,Forward,Unknown,0,No_pedestrian,No_distance,Slight Injury,16
Thursday,Underage,Male,Middle,Employee,Advanced,Other,Unknown,Unknown,Undivided_Two-way,No_junction,Dry,Darkness,Vehicles,1,4,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Serious Injury,23
Thursday,Underage,Male,Middle,Employee,Expert,Public,Unknown,Unknown,One-way,No_junction,Dry,Darkness,Vehicles,1,4,Forward,Driver or rider,2,No_pedestrian,Driving_carelessly,Serious Injury,23
Thursday,Underage,Male,Elementary,Employee,Beginner,Lorry,Unknown,No defect,Divided_Two-way,No_junction,Dry,Darkness,Vehicles,1,4,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Serious Injury,23
Thursday,Underage,Male,Elementary,Employee,Advanced,Other,Unknown,Unknown,One-way,No_junction,Dry,Darkness,Vehicles,1,4,Forward,Unknown,0,No_pedestrian,Driving_carelessly,Serious Injury,23
Monday,Older_Adult,Male,Elementary,Employee,Beginner,Public,Unknown,No defect,Divided_Two-way,Y,Dry,Darkness,Vehicles,3,1,Turn,Unknown,0,No_pedestrian,Other,Slight Injury,20
Monday,Adult,Male,Elementary,Employee,Advanced,Lorry,Unknown,No defect,Unknown,Y,Dry,Darkness,Vehicles,3,1,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,20
Friday,Young_Adult,Male,Elementary,Employee,Intermediate,Other,Moderate_Exp,Unknown,Unknown,Crossing,Dry,Daylight,Other,2,1,Unknown,Unknown,0,No_pedestrian,No_distance,Slight Injury,17
Friday,Adult,Male,Elementary,Employee,Advanced,Other,Unknown,Unknown,Other,Crossing,Dry,Daylight,Vehicles,2,1,Backward,Driver or rider,3,No_pedestrian,Other,Slight Injury,17
Friday,Young_Adult,Male,Middle,Employee,Expert,Pick up,Unknown,No defect,One-way,No_junction,Dry,Daylight,Vehicles,1,1,Backward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,17
Saturday,Unknown,Female,Middle,Employee,Expert,Automobile,Unknown,No defect,Undivided_Two-way,Crossing,Dry,Darkness,Inanimated_Objects,2,3,Turn,Unknown,0,No_pedestrian,No_distance,Slight Injury,1
Saturday,Young_Adult,Male,Elementary,Employee,Advanced,Lorry,Unknown,Unknown,Divided_Two-way,Crossing,Dry,Darkness,Vehicles,2,3,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,1
Saturday,Young_Adult,Male,Elementary,Owner,Advanced,Public,Unknown,No defect,Divided_Two-way,Crossing,Dry,Darkness,Vehicles,2,3,Unknown,Unknown,0,No_pedestrian,No_distance,Slight Injury,1
Wednesday,Adult,Male,Elementary,Employee,Intermediate,Automobile,Moderate_Exp,Unknown,Divided_Two-way,No_junction,Not dry,Darkness,Inanimated_Objects,2,1,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,18
Wednesday,Young_Adult,Male,Elementary,Employee,Expert,Pick up,Unknown,Unknown,Other,No_junction,Not dry,Darkness,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,No_distance,Slight Injury,18
Friday,Young_Adult,Male,Elementary,Employee,Intermediate,Lorry,Unknown,Unknown,Other,Y,Dry,Daylight,Vehicles,3,1,Forward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,15
Friday,Adult,Male,Middle,Employee,Expert,Public,Unknown,Unknown,Divided_Two-way,Y,Dry,Daylight,Vehicles,3,1,Forward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,15
Friday,Young_Adult,Male,Middle,Employee,Beginner,Other,Unknown,Unknown,Undivided_Two-way,Y,Dry,Daylight,Vehicles,3,1,Backward,Driver or rider,2,No_pedestrian,Driving_carelessly,Slight Injury,15
Tuesday,Young_Adult,Male,Middle,Employee,Intermediate,Lorry,Unknown,Unknown,Other,Other,Dry,Daylight,Inanimated_Objects,1,1,Forward,Passenger,3,No_pedestrian,Driving_carelessly,Serious Injury,12
Monday,Older_Adult,Male,Elementary,Employee,Advanced,Other,Unknown,No defect,Undivided_Two-way,Crossing,Dry,Daylight,Vehicles,2,1,Forward,Unknown,0,No_pedestrian,Other,Slight Injury,8
Saturday,Adult,Male,Elementary,Employee,Beginner,Lorry,Advanced_Exp,Unknown,Other,No_junction,Not dry,Daylight,Vehicles,1,1,Turn,Pedestrian,3,No_pedestrian,Other,Slight Injury,17
Sunday,Young_Adult,Male,Elementary,Employee,Unknown,Other,Unknown,Unknown,Undivided_Two-way,No_junction,Dry,Darkness,Vehicles,1,3,Backward,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,0
Sunday,Young_Adult,Male,Middle,Employee,Beginner,Automobile,Moderate_Exp,No defect,Undivided_Two-way,No_junction,Dry,Darkness,Vehicles,1,3,Forward,Driver or rider,3,No_pedestrian,Other,Slight Injury,0
Sunday,Young_Adult,Male,Unknown,Employee,Advanced,Automobile,Moderate_Exp,Unknown,One-way,No_junction,Dry,Darkness,Animated_Objects,1,3,Forward,Passenger,3,No_pedestrian,Driving_carelessly,Slight Injury,0
Wednesday,Adult,Male,Elementary,Owner,Beginner,Automobile,Moderate_Exp,Unknown,Other,Crossing,Dry,Daylight,Vehicles,1,1,Turn,Unknown,0,No_pedestrian,Driving_carelessly,Slight Injury,15
Saturday,Underage,Male,Middle,Employee,Advanced,Other,Moderate_Exp,Unknown,Divided_Two-way,Y,Not dry,Darkness,Vehicles,2,1,Backward,Driver or rider,3,No_pedestrian,Driving_carelessly,Slight Injury,18
Saturday,Young_Adult,Male,Middle,Employee,Intermediate,Lorry,Unknown,Unknown,Other,Y,Not dry,Darkness,Inanimated_Objects,2,1,Forward,Driver or rider,3,No_pedestrian,Changing_lane,Slight Injury,18
Friday,Adult,Male,Middle,Employee,Intermediate,Lorry,Valid_Recent_Exp,Unknown,Other,No_junction,Not dry,Darkness,Vehicles,1,1,Forward,Driver or rider,3,No_pedestrian,Other,Serious Injury,5
Friday,Adult,Male,Middle,Owner,Beginner,Automobile,Valid_Recent_Exp,Unknown,Other,No_junction,Dry,Darkness,Animated_Objects,1,1,Backward,Unknown,0,No_pedestrian,Changing_lane,Slight Injury,22
